title,short_name,city,state_abbreviation,url,about_html,logo_src,productions_html
Public Broadcasting Atlanta,WABE,Atlanta,GA,https://www.wabe.org/,"","",""
Radio Bilingue,Radio Bilingue,Fresno,CA,http://radiobilingue.org/,"","",""
Rocky Mountain PBS (KRMA),Rocky Mountain PBS,Denver,CO,http://www.rmpbs.org/,"<p>KRMA-TV (Rocky Mountain PBS) first went on the air on January 30,
1956, as Denver’s instructional TV station licensed to Denver Public Schools.
As Denver’s first educational station, it broadcast for only two hours that
inaugural day from a temporary studio in the Emily Griffith Opportunity School
in downtown Denver.  KRMA was the 5th TV station to go on air in the Denver metro
area and was Denver’s first non-commercial station.  It was the 18th educational
television station in the country.</p><p>Records show that as early as 1950, the Denver
Public Schools, Denver Public Library, The University of Denver, the Rocky Mountain
Radio Council of Denver and the Adult Education Council met to discuss educational
television for Denver. In 1952, a community meeting was held to discuss the idea.
This followed the FCC’s action to set aside 242 channels in the VHG and UHF
frequencies for nonprofit educational stations.  In the fall of 1953, the Denver
Area Council for Educational Television was established to oversee the work and
mission of KRMA for more than 30 years.</p><p>On May 1, 1987, the Denver Public Schools
transferred the license to the Council for Public Television, Channel 6, Inc.
Following this decision, KRMA started a capital campaign to raise $14.5 million
to move on October 30, 1992 to its current studios in Denver at 1089 Bannock Street.
Rocky Mountain PBS continues to be at this location today and has expanded its
presence in Colorado by adding two additional studios, KTSC (Pueblo/Colorado Springs)
and KRMJ (Grand Junction).</p><p>In recent years, Rocky Mountain PBS has expanded by
merging with <a href=""http://inewsnetwork.org/"">I-News</a>, a Colorado-based nonprofit that
produces in-depth journalism for media outlets across the region and <a href=""http://kuvo.drupal.publicbroadcasting.net/"">KUVO Radio</a>,
a jazz, blues and news public radio station.</p><p>Rocky Mountain PBS has been on the
air for 59 years and will celebrate its 60th anniversary on January 30, 2016.</p><p>Each week, nearly 900,000 people throughout Colorado turn to Rocky Mountain
PBS to discover inspiring local, national and international programming; find
diverse viewpoints; score front row center seats to world-class performances;
and experience lifelong learning opportunities. </p><p>Rocky Mountain PBS is now Colorado’s
only statewide television network, with stations in Denver (KRMA), Pueblo/Colorado
Springs (KTSC), Steamboat Springs (KRMZ), Grand Junction (KRMJ) and Durango (KRMU).</p><p>The entire history of Rocky Mountain PBS is being archived by an award-winning
volunteer-driven project known as <a href=""http://www.rmpbs.org/volunteer/sam/"">“Station’s Archived Memories”</a>
(SAM).  The archive project was founded in 2000. To date, the dedicated group
of volunteers has meticulously collected and digitally archived over 50,000 photographs,
195 Oral History interviews, 15,000 Station documents, 3,500 Memorabilia pieces
as well as inventoried 11,500 KRMA/Rocky Mountain PBS productions and digitally
preserved 700 local programs.  To learn more about the archives at Rocky Mountain
PBS or to learn how any public media station can establish an archive project,
contact <a href=""mailto:SAM@rmpbs.org"">SAM@rmpbs.org</a>.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/rocky_mountain_logo.png,"<p>Frying Pans West - (1968) Hosted by Mr. Sam Arnold and produced
by Mr. Richard “Dick” Siceloff, the 1968 program is a compilation of recipes,
anecdotes and little known facts about the early West and our American gastronomic
heritage.</p><p>Glenarm Place - (1983) Glenarm Place showcased a variety of local musical
talent. It premiered May 7 1983, 10:30 PM. Produced by Kaye Lavine, hosted by
Hank Troy and directed  by David Ryan.   DVD copies of “Glenarm Place” in the
SAM archives.  Performances were simulcast in stereo with KCFR Radio (90.1 FM)</p><p>The
Naturalists - (1973) KRMA’s most ambitious project yet was undertaken beginning
March 11, 1973.  Titled “The naturalists,” it is a program about four of America’s
greatest naturalists:  John Muir, Henry David Thoreau, John Burroughs and Theodore
Roosevelt.  Jim Case,   KRMA’s “Special Projects Cine Unit,” under the direction
of Jim Case, produced the four-hour program series. Case believed the understanding
of the work of these four men would be a valuable addition to the life of the nation.
The four half-hour programs were produced by KRMA-TV under the supervision of
the special projects director, James Case.  The objective of the series, is “to
help contemporary society to re-learn the values and laws of nature these men
came to slowly and naturally.” To assure accuracy, each shooting script was authenticated
by a “content authority”--a man or woman who personally knew the naturalist or
is an authority on his life and work.</p><p>Stateline - (1983) Stateline was a program
dedicated to coverage of the Colorado State legislature.</p><p>Rocky Mountain Legacy
- (premiered in July, 1994) Rocky Mountain Legacy sought out the stories of those
who bravely faced the risks associated with any worthwhile endeavor.  Colorado
was  populated  in the earliest days, by seekers: people seeking wealth, health
or the wide open spaces of the west.  The gold rush days and the tuberculosis
epidemic of the 1800s, the growth of the railroad industry in the mountain region
and the Great Depression - these were just some of the reasons people were drawn
to the Rocky Mountains.  Through journal entries, diaries and interviews,  the
hardship and sacrifice as well as the triumph and satisfaction that built both
urban and rural communities across Colorado are depicted in Rocky Mountain Legacy.</p>"
Sesame Workshop,Sesame Workshop,New York,NY,https://www.sesameworkshop.org/,"","",""
South Carolina Network (SCETV) (WRLK),South Carolina ETV,Columbia,SC,http://www.scetv.org/,"<p>South Carolina Educational Television began in the library of a high
school in 1958.  A teacher shortage in French and algebra was solved by sending
teachers via closed circuit television to other schools.  The circuits eventually
extended statewide, and into broadcast by 1963.  In 1972, the network expanded
again into public radio as a member of NPR.  Today, South Carolina ETV consists
of 11 TV transmitters and 8 radio transmitters carrying five different services
statewide.  Through ETV Streamline, ETV provides classroom content via the internet
with safe, standards-based curriculum.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/scetv_logo.png,"<p>First an affiliate of NET (National Educational Television) and now a member of  PBS, South Carolina ETV became a producer and presenter of national public television programs, including Firing Line with William F. Buckley, Jr., The Magic School Bus, NatureScene, and A Chef’s Life (Peabody winner).  The ETV Radio service produces national series Marian McPartland’s Piano Jazz (Peabody winner), Song Travels with Michael Feinstein, Chamber Music from Spoleto Festival USA (international distribution), and World of Opera.</p>"
Southern Oregon Public Television (KSYS/KFTS),Southern Oregon PBS,Medford,OR,https://www.sopbs.org/,"<p>In 1965, Oregon Educational Broadcasting (OEB), forerunner of Oregon
Public Broadcasting (OPB), persuaded the Federal Communications Commission (FCC)
to reassign channel 8 from Brookings to Medford. OEB intended to make channel
8 the third station in its television network, which at that time included flagship
KOAC-TV in Corvallis and KOAP-TV (now KOPB-TV) in Portland. Southern Oregon was
the only region of the state without public television. However, OEB backed out
after a protracted battle with several commercial applicants. The license eventually
went to Liberty Television, owners of KEZI-TV in Eugene.</p><p>The owners of the two
commercial stations in the area, Bill Smullin of KTVM-TV (now KOBI) and Ray Johnson
of KMED-TV (now KTVL), helped a new nonprofit corporation, Southern Oregon Educational
Company (SOEC), buy the channel 8 construction permit from Liberty. They also
pledged payments of $50,000 once the station signed on. Getting the funds to sign
on proved more difficult than expected. With the FCC permit about to run out,
KSYS went on the air on January 17, 1977 with the strongest signal of any station
in the region, at 191,000 watts. This was still not enough to cover Klamath Falls,
and SOEC (later renamed Southern Oregon Public Television, Inc.) immediately applied
for another station to cover that region. However, it took 12 more years before
KFTS went on the air in January 1989.</p><p>The two stations are the only public television
stations in the state not affiliated with OPB, but occasionally air some of OPB's
programs.</p><p>They are also the ""Presenting Station"" for several national programs
including Tommy Emmanuel and Jesse Cook pledge specials.  They also present the
series Sierra Center Stage and Music Gone Public.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/sopbs_logo.png,<p>Immense Possibilities</p><p>Souther Oregon Town Hall</p><p>Student Showcase</p>
Stanford University,"Hoover Institution Library & Archives, Stanford University",Stanford,CA,https://www.hoover.org/library-archives,"<p>Founded by Herbert Hoover in 1919, the Hoover Institution Library &amp; Archives are dedicated to documenting war, revolution, and peace in the twentieth and twenty-first centuries. With nearly one million volumes and more than six thousand archival collections from 171 countries, Hoover supports a vibrant community of scholars and a broad public interested in the meaning and role of history.</p><p>Broadcast collections at Hoover play an important role for scholars. As legacy realtime accounts of particular era, including specific historical events, broadcasts serve an immersive function offering additional levels of experience beyond the written word.</p><p>Hoover’s public broadcasting holdings, <a href=""https://www.hoover.org/library-archives/collections/firing-line"">Firing Line with William F. Buckley</a> and the <a href=""https://www.hoover.org/library-archives/collections/commonwealth-club-california-records"">Commonwealth Club of California</a> records, include debates, discussions and speeches on politics, society, philosophy, and the arts. Additional broadcast collections include: the <a href=""https://www.hoover.org/library-archives/collections/radio-free-europeradio-liberty-records"">Radio Free Europe/Radio Liberty</a> records; NBC Radio coverage of the <a href=""https://www.hoover.org/library-archives/collections/united-nations-conference-international-organization-proceedings-1945"">United Nations Conference on International Organization</a>; and BBC World Service broadcasts in Vietnamese and Russian.</p><p>From 1966 to 1999, the television series Firing Line with William F. Buckley Jr. was a venue for debate and discussion on political, social, and philosophical issues with experts of the day. The broadcast collection includes administrative files, program preparation materials, photographs, transcripts, sound recordings, and videotape copies of the 1,505 programs. Support for videotape preservation has been provided by the Mericos Foundation and the National Television and Video Preservation Foundation.</p><p>Since 1903, the day’s premier leaders, crusaders, and elected officials have spoken at the Commonwealth Club of California, with many such talks subsequently broadcast on the club's nationwide radio network. Sound recordings and scripts of these speeches on political, economic, technological, social, and recreational matters, along with the club's reports, minutes, correspondence, and other records, are in this collection.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/stanford_logo.png,""
The Nine Network of Public Media (formerly KETC),The Nine Network of Public Media,St. Louis,MO,http://ninenet.org/,"","",""
The Riverside Church,The Riverside Church ,New York,NY,https://www.trcnyc.org/,"",https://s3.amazonaws.com/americanarchive.org/org-logos/riversidechurch_logo.png,""
The Walter J. Brown Media Archives & Peabody Awards Collection at the University of Georgia,The Walter J. Brown Media Archives & Peabody Awards Collection at the University of Georgia,Athens,GA,https://bmac.libs.uga.edu/pawtucket2/,"",https://s3.amazonaws.com/americanarchive.org/org-logos/UGA_logo.png,""
ThinkTV,ThinkTV,Dayton,OH,https://www.thinktv.org/,"","",""
Thirteen - New York Public Media (WNET),Thirteen WNET,New York,NY,https://licensing.wnet.org/,"<p>“Tonight you join me on a great adventure,” legendary newscaster Edward R. 
Murrow famously said as he introduced channel13, WNDT (“New Dimensions in 
Television”) during the station’s inaugural broadcast on September 16, 1962. 
With that flip of a switch, the greater New York region’s first public 
television station was born. In 1970, WNDT merged with producer National 
Educational Television (NET), eventually becoming WNET, parent company to 
public television stations THIRTEEN and WLIW21 and operator of NJTV. </p>",https://s3.amazonaws.com/americanarchive.org/org-logos/wnet_logo.png,"<p>With that historic first broadcast, the station offered a relevant 
alternative to the commercial networks that would set the gold standard for 
decades to come. Signature programming included:</p><p>The 1960s: New York Television Theater (1965), featuring noted actors as 
Sada Thompson and James Earl Jones; Dustin Hoffman’s TV debut in NET 
Playhouse: Journey of the Fifth Horse (1966); and for the first time on 
television, issues concerning the black community were covered on variety 
programs, Black Journal (1968) and SOUL! (1968).</p><p>The 1970s: public affairs series, Bill Moyers Journal (1971) debut for the 
first time; Emmy Award-winning satire series The Great American Dream 
Machine (1971); kids series Zoom (1972); experimental arts workshop, The TV 
Lab (1972) featuring artists Nam June Paik, Bill Viola, William Wegman and 
others; real-life drama played out by the Loud family on An American Family 
(1973); dramatic mini-series The Adams Chronicles (1976) showcased John 
Adams and his descendants; and Great Performances’ Dance in America was 
introduced, becoming one of the first program’s in the United States devoted 
entirely to dance (1976). </p><p>The 1980s: Nature (1982) debuts with The Flight of the Condor; Celeste Holm 
in The Shady Hill Kidnapping premiered on American Playhouse (1982); 
national news program, The MacNeil/Lehrer NewsHour (1983) debut; and 
American Masters (1986) presented revealing portraits of Charlie Chaplin, 
Billie Holliday, and Aaron Copland, among others during its premiere season.</p><p>The 1990s: The first broadcasts of a Three Tenors concert (1990); Charlie 
Rose (1991) debuts; on American Playhouse, Armistead Maupin's Tales of the 
City became one of the most talked-about series of the year (1994); Thirteen 
Online (1995) went live on the web; City Arts (1995) showcased the cultural 
diversity of the city; and Religion &amp; Ethics NewsWeekly (1997) debut. </p><p>In 2000, EGG the arts show and The 1900 House premiered. After the September 
11, 2001 attacks, THIRTEEN live broadcasts programs designed to help viewers 
understand and cope with tragedy, including New York Voices (2001). In 2002, 
the animated children’s math series Cyberchase debut. Also in the 2000s, 
online series Mission US and Oh Noah! helped kids learn history and foreign 
language skills. In 2010, The Tisch WNET Studios at Lincoln Center open at 
66th Street and Broadway and in 2012, the first annual American Graduate 
Day, a day-long multiplatform event to help communities bolster graduation 
rates, premiered. </p><p>Today, the legacy continues with new episodes from THIRTEEN’s signature 
series American Masters, Great Performances and Nature and newer series 
such as Secrets of the Dead, Shakespeare Uncovered, and Women, War &amp; Peace.</p>"
Twin Cities Public Television (KTCA-TV),Twin Cities Public Television,St. Paul,MN,http://www.tpt.org/,"<p>TPT has been around since Sept. 1957 and started as Minneapolis Educational Television. America’s 26th public TV station (KTCA). Originally housed at the University of MN. Currently, one of the top 5 public television stations in the country.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/tpt_logo.png,<p>Hoop Dreams</p><p>Newton’s Apple</p><p>SciGirls</p><p>Constitution USA with Peter Sagal</p>
UNC-TV,UNC-TV,Research Triangle Park,NC,http://www.unctv.org/,"<p>Today, UNC-TV is the 12-station statewide public television network
for North Carolina, reaching all 100 counties with four channels of national and
local program content, as well as parts of Virginia, South Carolina, Tennessee
and Georgia.  A lot has changed since WUNC-TV in Chapel Hill signed on as the
nation’s tenth “educational television” station on January 8, 1955, largely due
to the efforts of three visionary leaders.  William C. “Billy” Carmichael, the
University of North Carolina’s vice president for finance, University alumnus
and famous band lead Kay Kyser, and eventual university president William Friday
– then the assistant to the university’s president, Gordon Gray – spearheaded
an effort to use the burgeoning power of television to bring non-commercial educational
content to the citizens of the state.  This group recognized the unique opportunity
when the Federal Communications Commission offered eight channels in North Carolina
for non-commercial uses in 1952.  They traveled the state marshaling contributions
and support for both public and private funding, and so UNC-TV was born.</p><p>William
Friday became president of the university system in 1957, and during his legendary
30 year tenure in that position, he continued to be a powerful and effective advocate
for the importance and value of public television.  Gradually, it transitioned
from an operation run primarily by students and faculty members to a fully professional
broadcasting organization.  With the advent of PBS in 1968, UNC-TV was transformed
from the old educational television model to being a source for mission-driven
programming for general audiences.  In the meantime, UNC-TV continued to expand
its reach, gradually adding transmitter sites to cover more of the state.  In
1979, the University of North Carolina Center for Public Television was established
by the university’s board of governors, and 10 years later operations were finally
consolidated in one location, the network’s current headquarters and studios in
Research Triangle Park.</p><p>In many ways, the much-beloved William Friday was the
face of UNC-TV.  In addition to his advocacy and leadership as university president,
he was also the host of the longest-running program in UNC-TV history, North Carolina
People with William Friday.  The program went on the air in 1971 and continued
its weekly run until President Friday passed away at the age of 92 in October,
2012.  In a warm and informal one-on-one interview format, Friday engaged North
Carolinians from all walks of life, from the exalted to the humble, coaxing out
the stories that make every life interesting, and his viewing audience remained
loyal throughout his life. In 2014 the Board of Governors of the National Academy
of Television Arts and Sciences, Nashville/Midsouth Chapter, honored William Friday
with posthumous induction as the inaugural member of its Gold Circle for his exceptional
service to the advancement of public television.  At the same time, the chapter
also presented UNC-TV with its Governor’s Award in recognition of the network’s
history of exemplary service to the state of North Carolina.</p><p>Today, UNC-TV not
only brings programming from PBS, the BBC and other sources to the entire state,
it produces more than 300 hours of original programming each year for and about
North Carolina.  Looking to the future, UNC-TV continues extending its content
into the ever-growing array of digital platforms, and expanding its mission to
include even more opportunities for public service.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/unctv_logo.png,<p>North Carolina People with William Friday</p>
University of Alabama Center for Public Television,University of Alabama Center for Public Television and Radio (CPT&R),Tuscaloosa,AL,http://www.cptr.org/,"","",""
University of Houston,University of Houston,Houston,TX,http://libraries.uh.edu/branches/special-collections/,"<p>The University of Houston began as Houston Junior College in 1927 under the administration of the Houston Independent School District. In 1934, as the result of legislation signed by Governor Miriam A. Ferguson, two additional years of study were added to the curriculum, and the school was reconceived as the University of Houston (UH). From its early years, UH’s mission was to educate the working class men and women of Houston and the surrounding area and saw significant growth during the post-WWII era. In 1950, UH launched the nation’s first university-licensed radio station, KUHF-FM, and on May 25, 1953, the university-owned television station KUHT went on the air as the first television station in the United States to broadcast under an educational non-profit license. Today, UH serves over 43,000 students and is the second most diverse university in the nation.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/uh_logo.png,""
University of Maryland,University of Maryland,College Park,MD,http://www.lib.umd.edu/special,"",https://s3.amazonaws.com/americanarchive.org/org-logos/umd_logo.png,""
Vegas PBS (KLVX),Vegas PBS,Las Vegas,NV,http://www.vegaspbs.org/,"","",""
Vermont Public Radio - WVPR,Vermont Public Radio,Colchester,VT,http://www.vpr.net/,"<p>In 1975, four Vermonters gathered to create a public radio station for Vermont. 
National experts tried to dissuade them, reasoning that Vermont was too rural 
a state to support a station solely by listener support. Vermonters proved them 
wrong on every count and now reaches listeners all over the state. Vermont 
Public Radio was made possible by thousands of Vermonters that volunteered 
and contributed funds to provide ongoing access to programming that informs, 
educates and entertains and we're still going strong. For the past decade, 
the station has consistently ranked as one of the most-listened-to public 
radio stations in the country, based on radio listening per capita. Currently, 
more than 26,000 people contribute to VPR.</p><p>On October 1, 2007 Vermont Public Radio became two distinct services - VPR 
and VPR Classical. VPR offers news and information programming along with 
public radio entertainment favorites. And VPR Classical, our expanded network 
of stations providing classical music 24/7.</p><p>Vermont Public Radio's WVPR 89.5 FM in the Upper Valley became the first 
radio station in Vermont to begin broadcasting in HD digital sound on July 19, 2006. 
Fitting, given WVPR was Vermont's first public radio station.</p><p>As a community licensee, Vermont Public Radio operates with a state-wide Board 
of Directors and the majority of its funding comes from local community support.</p><p>VPR began broadcasting as WVPR 89.5 from studios in the historic Windsor House 
in Windsor, Vermont. In subsequent years, VPR expanded to include WVPS 107.9, 
Burlington; WRVT 88.7 Rutland; WVPA 88.5 in St. Johnsbury and WBTN 94.3 in 
Bennington, as well as VPR.net. In 2004, we launched WNCH 88.1 FM in Norwich, 
our flagship station for VPR Classical, which now covers most of the state.</p><p>As a state-wide resource, VPR is integral to the journalistic and cultural 
life of the region. Listeners are regularly heard on VPR, via call-in 
conversations on the daily noon newsmagazine Vermont Edition. Although it may 
have grown in size, VPR is still driven by its original mission: to extend 
involvement in contemporary affairs through programming that provides context 
to the events of today and the impact they have on the lives of Vermonters.</p><p>""VPR is a living example of what enthusiasm, vision, dedication and long-term 
commitment can build,"" says Robin Turnau, VPR President and CEO. ""Together 
we've created a resource for the community that connects neighbors across 
the state. It's a connection that will only continue to strengthen ....""</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/vpr_logo.png,""
Vermont Public Television,Vermont Public Television,Colchester,VT,http://www.vpt.org/,"<p>Vermont PBS is Vermont’s statewide PBS affiliate and public media provider, 
offering viewers the best of PBS, along with a regular line-up of award-winning 
local programs. Along with serving the entire state of Vermont, Vermont PBS’ 
broadcast can also be seen in adjoining regions of New York, New Hampshire 
and Massachusetts, as well as southern Quebec and the Montreal area.</p><p>Vermont PBS programs, and our wide variety of non-broadcast services and activities, 
are dedicated to improving the lives of our viewers by fostering: increased 
understanding of one another; improved educational opportunities for children 
and adults; cultural enrichment; community involvement; and environmental appreciation.</p><p>Programming on Vermont PBS includes renowned PBS children’s programs such 
“Sesame Street” and “Arthur.” Programming for adults includes such PBS stalwarts 
as “Masterpiece,” “Nova,” “American Experience” and “Antiques Roadshow,” as 
well as a Saturday night line-up of popular British comedy programs. In addition, 
Vermont PBS regularly produces local programs such as “Vermont This Week,” 
“Outdoor Journal” and live call-in shows with our elected representatives, 
along with an ever-growing library of historical documentaries that help to 
keep Vermont history and culture alive. We also regularly produce web-only 
content such as the 2014-15 online series, “Makin’ Friends With Ryan Miller.""</p><p>Historical documentary highlights over the years have included the “Vermont 
Memories” series (three films highlighting different eras), “Northern Railroads,” 
“Champlain: The Lake Between,” “Little Jerusalem” (chronicling Burlington, 
Vermont’s original Jewish settlement) and “Brothers of The Gut: 50 Years of 
UVM Hockey.” The station maintains a rich library of films documenting the 
state’s history, and regularly airs historical films from local filmmakers.</p><p>Vermont PBS went on the air as Vermont ETV on Oct. 16, 1967. In 1998, the 
station changed its name to Vermont Public Television. The station’s 
transition to fully digital broadcast was completed in 2006 with the digital 
conversion of its fourth transmission tower. Another rebranding followed in 
2014 when the station became Vermont PBS. Also in 2014, the station launched 
a second HD channel, Vermont PBS PLUS, which allows even more opportunity for 
alternative programming and local content from independent filmmakers.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/vermont_pt.png,""
Vision Maker Media,Vision Maker Media,Lincoln,NE,http://www.visionmakermedia.org/,"<p>Vision Maker Media is celebrating 40 years as your premier source for quality American Indian and Alaska Native educational and home videos. All aspects of our programs encourage the involvement of young people to learn more about careers in the media--to be the next generation of storytellers. Vision Maker Media envisions a world changed and healed by understanding Native stories and the public conversations they generate. </p><p>With funding from the Corporation for Public Broadcasting (CPB), Vision Maker Media's Public Media Content Fund awards support to projects with a Native American theme and significant Native involvement that ultimately benefits the entire public media community. Vision Maker Media, a nonprofit 501(c)(3) empowers and engages Native People to tell stories. For more information, <a href=""http://www.visionmakermedia.org"">www.visionmakermedia.org</a>.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/vision_maker_media_logo.png,""
WBLV-FM (Blue Lake Public Radio),Blue Lake Public Radio,Twin Lake,MI,http://bluelake.org/radio/,"","",""
WBRA-TV,Blue Ridge PBS,Roanoke,VA,http://www.blueridgepbs.org/,"<p>In 1965, a group of concerned citizens and educators established
the Blue Ridge Educational Television (ETV) Association, with the goal of bringing
educational television to Southwest Virginia. With seed money from the City of
Roanoke and funding from nineteen area school systems, ETV then applied for state
and federal grants to build the facilities. Groundbreaking for the studio building
took place November 1966.</p><p>On August 1, 1967, Southwest Virginia’s own public
television station went on the air for the very first time as Blue Ridge Educational
Television, WBRA-TV, channel 15—broadcasting from its new production facility
in Roanoke. It was the nation's first all-color educational television station.
WBRA’s all-color capabilities brought national attention in 1968 when RCA’s “Broadcast
News Magazine” did an extensive layout about the station. Initially there were
no broadcasts on weekends, and the station signed off every weekday at 11 p.m.
Within those broadcast hours, WBRA staff were offering an alternative to commercial
television.   In addition to broadcasts for schools, WBRA began the tradition
of providing quality entertainment programming.</p><p>Color programming was especially
popular with educators who were using WBRA broadcasts in classrooms. During the
school year, the station aired nearly seven hours of instructional programming
every weekday. At that time, the station employed six studio teachers who led
the daily televised lessons, which covered subjects such as science, music, geography,
and economics. In 1969, instruction and entertainment were expertly combined when
“Sesame Street” and “Mister Rogers’ Neighborhood” were added to WBRA’s schedule.</p><p>For the first few years, WBRA’s reach was limited to portions of 15 counties
surrounding the City of Roanoke. With the addition of two more transmitters, Blue
Ridge PBS expanded its coverage area to the farthest corners of Southwest Virginia
and into bordering counties in Kentucky, Tennessee, West Virginia, and North Carolina—a
total of 26,000 square-miles. WSBN in Norton went on the air in 1971, and WMSY
in Marion completed the trio of Blue Ridge PBS’ stations when it went on the air
in 1981.</p><p>Today people travel the world with Blue Ridge PBS, visiting distant
destinations as well as special places and people across the Blue Ridge region.
Blue Ridge PBS, still community owned, has grown into a 21st century, multimedia
organization. It is now the region’s story teller, serving 2.5 million individuals
as an around-the-clock source for thoughtful news and documentaries, arts and
culture programming, and the best in children’s television.</p><p>In recent years,
investments in digital technologies have enabled Blue Ridge PBS to triple the
amount of programming available to regional viewers. Viewers can now choose from
three digital channels: Blue Ridge PBS, Southwest Virginia Public TV and World.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/wbra_logo.png,"<p>Blue Ridge Nightline was a public affairs show that was on the
air for over 20 years covering a wide variety of topics.  The show had a number
of title variations over the years as hosts changed.  Several episodes of Hake
Wheeler’s Nightline were part of the collection we digitized for the archives
project.   </p><p>Blue Ridge PBS worked with nationally known historian, James I. Robertson,
Jr. to produce a 10 part series on the Civil War.</p><p>In addition, the station produced
a 3 hour documentary on Virginia in the Civil War to commemorate the 150th anniversary
of the war.  This program was broken down into modules and designed specifically
for use in the schools.  A set of the DVDs went to each school in Virginia.</p>"
WCNY,WCNY,Liverpool,NY,http://www.wcny.org/,"<p>WCNY, founded in 1965 as The Educational Television Council of Central
New York, is today a community-owned public media company that produces content
across multiple platforms, including television and radio programs, dynamic web
and targeted e-mail content, the bimonthly WCNY Connect magazine, and of course,
social media. Through our use of streaming technology, we now have a global broadcast
audience of viewers and listeners throughout the United States and 17 countries.</p><p>As Central New York's public media voice and a dual licensee public broadcaster
(now five television and three radio channels), WCNY serves 1.8 million households
over an area that comprises about one-third of New York.  This audience relies
on WCNY for local television and radio production, educational outreach, and educational
web content and services.  We are an innovator in local and national programming,
as evidenced by numerous awards including Emmys, for our local television programming
including Cycle of Health, Financial Fitness, Insight, Double Down and Ivory Tower
along with long-form documentaries.  We are the smallest city in America to have
a hosted classical radio show, nearly 2000 visually-impaired community members
enjoy the services of our 24/7 Readout Radio service, and the community is invited
to attend our Live at Noon performances (broadcast on radio live) that feature
outstanding local, regional, and national musicians and vocalists.  </p><p>In our new
10,000-square-foot Education Center, we offer a wide range of educational programs
for learners of all ages.  Education is central to WCNY’s mission.  Our Enterprise
America program combines classroom lessons with the opportunity for students to
run a model city of 14 businesses and a City Hall. Our Media Marketing Communications
Career and Technical Education (CTE) course for high school students embeds students
with our WCNY professionals to provide hands-on learning while also offering academic
college courses.  Through experiential learning opportunities like these we aim
to foster tomorrow’s entrepreneurial leaders.</p><p>As the public voice for Central
New York, the mission at WCNY is ‘connecting’ with and giving back to the community
that supports us.  Educating, entertaining, and inspiring the public, as well
as encouraging a deep appreciation for diversity and our shared humanity with
content-rich programming, is what we do.  The archives provide WCNY with a way
to ensure that our programming history is recorded, and that productions we have
created are accessible for future generations.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/wcny_logo.png,"<p>Television: Artic Air, The Barn, Central New
York in the 40s, William Henry Seward: Lincoln’s Right Hand, The Performers: Taking
Center Stage in NYS Agriculture, Dream Destinations: New York’s Contemporary Canals,
Losing Ground: The Battle to Preserve War of 1812 Battlefields in New York State,
and annual Bluegrass Ramble Picnics and Barn Dances are examples of significant
local history, arts, and public affairs programming our staff has created.  </p><p>Radio:The
radio recordings of the now-defunct Syracuse Symphony, Live at Noon specials,
and Bluegrass Ramble shows hosted by Bill Knowlton, the recipient of a Distinguished
Achievement Award from the International Bluegrass Music Association for his pioneering
work in the field of bluegrass music, are examples of significant radio productions
created by WCNY.</p>"
WCTE,WCTE,Cookeville,TN,http://www.wcte.org/,"","",""
WCVE,VPM,Richmond,VA,https://vpm.org/,"","",""
WDIY-FM,WDIY,Bethlehem,PA,http://wdiy.org/,"","",""
